title,rating,image,price,In The Box,Model Name,Color,SIM Type,Touchscreen,Quick Charging,Display Size,Resolution,GPU,Operating System,Processor Brand,Processor Type,Processor Core,Primary Clock Speed,Internal Storage,RAM,Expandable Storage,Primary Camera,Secondary Camera,HD Recording,Video Recording Resolution,Network Type,Battery Capacity,Battery Type,Warranty Summary,JAVA Support
LAVA Gem Power 22  (Black + Gold),4.2,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/b/y/j/gem-power-22-lf9000-lava-original-imahyqbyhymzn3f7.jpeg?q=70&crop=false,"₹1,919","Handset, BATTERY, CHARGER",Gem Power 22,Black + Gold,Dual Sim,No,No,7.11 cm (2.8 inch),245x320Pixels,,,,,,1.2 MHz,0 MB,,32 GB,1.3MP Rear Camera,,Yes,128x160 pixels,2G,2575 mAh,Li-Ion,No Warranty,Yes
KARBONN K9 Yuva Keypad Mobile| 2500 mAh Battery|2MP Camera|Expandable Memory up to 32GB  (White Champagne),3.9,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/j/e/u/k9-yuva-k9-yuva-karbonn-original-imahyjgbarzgjnv3.jpeg?q=70&crop=false,"₹1,490","Handset, Charger",K9 Yuva Keypad Mobile| 2500 mAh Battery|2MP Camera|Expandable Memory up to 32GB,White Champagne,Dual Sim,No,,4.57 cm (1.8 inch),240 x 320$$pixel,,Belle,,,Single Core,1.1 MHz,32 KB,64 MB,,2MP Rear Camera,,No,,2G,2502 mAh,Li-Ion,1 Year Company Domestic Warranty by Company Authorized Service Center.,No
itel Muzik 430  (Gold),4.0,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/f/t/n/muzik-430-it5093-itel-original-imagvzyc3z7fdsph.jpeg?q=70&crop=false,"₹1,899","Headset, Charger , Warranty Card",Muzik 430,Gold,Dual Sim,No,Yes,6.1 cm (2.4 inch),240 × 320 pixels,No,,Unisoc,Unisoc,Single Core,1.4 MHz,32 MB,32 MB,,0.3MP Rear Camera,,No,,2G,3000 mAh,,13 months warranty,No
"OnePlus 12 (Flowy Emerald, 256 GB)  (12 GB RAM)",4.5,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/s/r/r/12-5g-op12-5g-oneplus-original-imagxgt7uwerszh8.jpeg?q=70&crop=false,"₹64,999","Handset, User Manual, Warranty Card, Sim Eject Tool",12,Flowy Emerald,Dual Sim,Yes,,17.32 cm (6.82 inch),3168*1440,,Android Android 14,Snapdragon,,Octa Core,3.3 GHz,256 GB,12 GB,,64MP Rear Camera,,,,5G,5400 mAh,,1 Year Brand Warranty,
LAVA A7 Torch Dual Sim Keypad Phone|2574 mAh Battery|Expandable Upto 32 GB  (Black),4.0,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/w/b/j/a7-torch-lf7002-lava-original-imagt4w7tfhttgxb.jpeg?q=70&crop=false,"₹1,899","Handset, Battery, Charger",A7 Torch Dual Sim Keypad Phone|2574 mAh Battery|Expandable Upto 32 GB,Black,Dual Sim,No,,6.1 cm (2.4 inch),160 x 128 Pixels,,,,,,,32 MB,24 MB,32 GB,0.3MP Rear Camera,0MP Front Camera,,,2G,2574 mAh,,1 Year Handset Domestic warranty,
"REDMI 13c 5G (Starlight Black, 128 GB)  (4 GB RAM)",4.3,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/e/v/t/13c-5g-redmi-13c-5g-redmi-original-imagw6s7zfhb4syx.jpeg?q=70&crop=false,"₹13,999","Mobile Phone, Power Adapter, SIM Tray Ejector, USB Cable, Warranty Card",13c 5G,Starlight Black,Dual Sim,Yes,,17.12 cm (6.74 inch),1600x720$$ Pixels,,Android 13,Mediatek,,Octa Core,1 GHz,128 GB,4 GB,,50MP Rear Camera,,,,5G,5000 mAh,,1 Year,
"itel S23 with Dual Sim| 50MP Rear Camera| 5000mAh Battery|Expandable Upto 1 TB (Starry Black, 128 GB)  (4 GB RAM)",4.1,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/j/u/b/s23-s665l-itel-original-imagrht5cnebufcg.jpeg?q=70&crop=false,"₹9,500",Handset | User Guide | Warranty Card | Charger | USB Cable | Plastic Case | SIM Ejector Pin,S23 with Dual Sim| 50MP Rear Camera| 5000mAh Battery|Expandable Upto 1 TB,Starry Black,Dual Sim,Yes,,16.76 cm (6.6 inch),1612 x 720,Mali G57 MP1,Android 12,Unisoc,Unisoc Tiger T606,Octa Core,1.6 MHz,128 GB,4 GB,1 TB,50MP Rear Camera,8MP Front Camera,,,"4G VOLTE, 4G",5000 mAh,Li Polymer,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,
"realme NARZO 70X 5G (ICE BLUE, 128 GB)  (4 GB RAM)",3.8,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/8/0/n/narzo-70x-5g-rmx3998-realme-original-imahygb6urdgbuxu.jpeg?q=70&crop=false,"₹16,999","Phone, Data cable, SIM ejector tool, Protective case, Quick Guide",NARZO 70X 5G,ICE BLUE,Dual Sim,Yes,,17.07 cm (6.72 inch),2400x 1080$$ pixel,,Android ANDROID 14,Mediatek,Dimensity 6100+ 5G Chipset,Octa Core,2.2 GHz,128 GB,4 GB,,50MP Rear Camera,8MP Front Camera,,,5G,5000 mAh,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,
"Google Pixel 7a (Sea, 128 GB)  (8 GB RAM)",4.1,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/z/b/d/-original-imagpgx48f4szdvf.jpeg?q=70&crop=false,"₹43,999","Handset, 1 m USB-C to USB-C Cable (USB 2.0), Quick Switch Adaptor, Support Card, Sim Tool",Pixel 7a,Sea,Dual Sim(Nano + eSIM),Yes,Yes,15.49 cm (6.1 inch),2400 x 1080 Pixels,,Android 13,Google,Tensor G2,,,128 GB,8 GB,,64MP (OIS) + 13MP,13MP Front Camera,,,5G,4300 mAh,,1 Year Domestic Warranty,
"Tecno Spark Go 2024 (Gravity Black, 64 GB)  (3 GB RAM)",4.3,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/y/k/m/spark-go-2024-bg6-tecno-original-imahysbuz8bxmmhq.jpeg?q=70&crop=false,"₹7,499","Handset, USB Cable, Charger, Sim Ejector Pin, Warranty Card, User Guide, Plastic Case",Spark Go 2024,Gravity Black,Dual Sim,Yes,Yes,16.66 cm (6.56 inch),720x1612$$ Pixels,Mali-G57 MP1,"Android Android 13 (Go edition), HIOS 13",Unisoc,Unisoc T606,Octa Core,1.6 GHz,64 GB,3 GB,1 TB,13MP + 0.8MP,8MP Front Camera,Yes,1080p@30fps,"4G VOLTE, 4G",5000 mAh,Li-Po,Domestic Warranty of 12 Months on Phone & 6 Months on Accessories,
"Nothing Phone (2a) 5G (Blue, 128 GB)  (8 GB RAM)",4.4,https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/z/g/z/-original-imahfptqbnyebxjg.jpeg?q=70&crop=false,"₹25,999","Handset, Nothing Cable (C-C), Screen Protector (Pre Applied), Sim Tray Ejector, Safety Information and Warranty Card",Phone (2a) 5G,Blue,Dual Sim,Yes,Yes,17.02 cm (6.7 inch),2412 x 1084 Pixels,Mali G610 MC4,Android 14,Mediatek,Dimensity 7200 Pro,Octa Core,2.8 GHz,128 GB,8 GB,,50MP (OIS) + 50MP,32MP Front Camera,Yes,"Rear Camera: Main Camera (4K (at 30 fps), 1080p (at 30 fps), 1080p (at 60 fps), 1080p (at 120 fps)), Ultra Wide Camera (4K (at 30 fps), 1080p (at 30 fps), 1080p (at 60 fps)) | Front Camera: 1080p (at 30 fps), 1080p (at 60 fps)","5G, 4G, 3G, 2G",5000 mAh,Lithium Ion,1 Year Manufacturing Warranty,
